Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	mitosis	7	70.0	5.6039300036332375E-11	CCNB1, CDCA8, KNTC1, BUB1, BIRC5, AURKB, CDCA5	10	183	19235	73.57650273224043	2.0174142356665925E-9	2.0174142356665925E-9	4.998300662251154E-8
GOTERM_BP_FAT	GO:0000279~M phase	8	80.0	1.6312447869525377E-10	CCNB1, CDCA8, KNTC1, BUB1, BIRC5, AURKB, CDCA5, RAD51	10	329	13528	32.894832826747724	2.9036163029516615E-8	2.9036163029516615E-8	2.0055338501023812E-7
SP_PIR_KEYWORDS	cell division	7	70.0	5.125919610848517E-10	CCNB1, CDCA8, KNTC1, BUB1, BIRC5, AURKB, CDCA5	10	264	19235	51.00189393939394	1.8453310768329345E-8	9.226655439675824E-9	4.571951373044669E-7
GOTERM_BP_FAT	GO:0022403~cell cycle phase	8	80.0	8.166171485167816E-10	CCNB1, CDCA8, KNTC1, BUB1, BIRC5, AURKB, CDCA5, RAD51	10	414	13528	26.141062801932367	1.4535783454672213E-7	7.267891988238517E-8	1.003989646974901E-6
GOTERM_BP_FAT	GO:0000280~nuclear division	7	70.0	1.3939388185805096E-9	CCNB1, CDCA8, KNTC1, BUB1, BIRC5, AURKB, CDCA5	10	220	13528	43.04363636363636	2.4812108523342147E-7	8.270703522050837E-8	1.7137776753273215E-6
GOTERM_BP_FAT	GO:0007067~mitosis	7	70.0	1.3939388185805096E-9	CCNB1, CDCA8, KNTC1, BUB1, BIRC5, AURKB, CDCA5	10	220	13528	43.04363636363636	2.4812108523342147E-7	8.270703522050837E-8	1.7137776753273215E-6
GOTERM_BP_FAT	GO:0000087~M phase of mitotic cell cycle	7	70.0	1.553812614258198E-9	CCNB1, CDCA8, KNTC1, BUB1, BIRC5, AURKB, CDCA5	10	224	13528	42.27499999999999	2.765786107916668E-7	6.914465988661078E-8	1.9103344461868232E-6
GOTERM_BP_FAT	GO:0048285~organelle fission	7	70.0	1.7748035967565657E-9	CCNB1, CDCA8, KNTC1, BUB1, BIRC5, AURKB, CDCA5	10	229	13528	41.351965065502185	3.159149978282372E-7	6.318300760366213E-8	2.18203175528231E-6
GOTERM_BP_FAT	GO:0022402~cell cycle process	8	80.0	7.153847704064485E-9	CCNB1, CDCA8, KNTC1, BUB1, BIRC5, AURKB, CDCA5, RAD51	10	565	13528	19.154690265486725	1.2733840908385474E-6	2.1223079438303927E-7	8.795295525221292E-6
GOTERM_BP_FAT	GO:0051301~cell division	7	70.0	8.128094099877427E-9	CCNB1, CDCA8, KNTC1, BUB1, BIRC5, AURKB, CDCA5	10	295	13528	32.10033898305085	1.4467997067058036E-6	2.0668580058558206E-7	9.993082294990074E-6
SP_PIR_KEYWORDS	cell cycle	7	70.0	1.4500957505181024E-8	CCNB1, CDCA8, KNTC1, BUB1, BIRC5, AURKB, CDCA5	10	461	19235	29.207158351409976	5.220343392009497E-7	1.740114766723977E-7	1.2933809456772138E-5
GOTERM_BP_FAT	GO:0000278~mitotic cell cycle	7	70.0	3.151186422210397E-8	CCNB1, CDCA8, KNTC1, BUB1, BIRC5, AURKB, CDCA5	10	370	13528	25.59351351351351	5.609096190073437E-6	7.01138744396701E-7	3.874224479005761E-5
GOTERM_CC_FAT	GO:0005694~chromosome	7	70.0	5.540433761211087E-8	CDCA8, KNTC1, BUB1, BIRC5, AURKB, CDCA5, RAD51	9	460	12782	21.612077294685992	2.326979534617024E-6	2.326979534617024E-6	5.1276605783634466E-5
GOTERM_BP_FAT	GO:0007049~cell cycle	8	80.0	6.475408978143614E-8	CCNB1, CDCA8, KNTC1, BUB1, BIRC5, AURKB, CDCA5, RAD51	10	776	13528	13.946391752577322	1.1526161923236522E-5	1.2806912187413033E-6	7.961186642146956E-5
GOTERM_CC_FAT	GO:0000775~chromosome, centromeric region	5	50.0	5.731694985404763E-7	CDCA8, KNTC1, BUB1, BIRC5, AURKB	9	124	12782	57.26702508960574	2.4072836081856508E-5	1.203649047953892E-5	5.304661134686306E-4
